propertyCode,price,numPhotos,floor,rooms,bathrooms,size,parkingSpacePrice,exterior,renew,new_development,hasParkingSpace,isParkingSpaceIncludedInPrice,isFinished,hasLift,hasPlan,has360,has3DTour,hasVideo,propertyType,cluster
97942302,850.0,23,0,5,2,140.0,0.0,False,False,False,False,False,True,False,False,False,False,False,countryHouse,3
97956954,900.0,18,1,3,3,100.0,0.0,True,False,False,True,True,True,True,False,False,False,False,duplex,0
98200619,1200.0,26,2,3,2,145.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98015046,1800.0,21,0,3,2,103.0,0.0,True,False,False,False,False,True,True,False,False,False,True,flat,0
97530419,850.0,27,5,3,1,76.0,0.0,False,False,False,False,False,True,True,False,False,False,True,flat,0
97948804,2500.0,24,0,3,2,219.0,0.0,False,False,False,True,True,True,False,False,False,False,False,chalet,2
92008417,830.0,26,3,2,2,70.0,0.0,True,False,False,True,True,True,True,False,False,False,False,flat,0
98029302,700.0,29,6,3,1,92.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
97561853,1050.0,21,8,3,2,100.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98343131,750.0,16,2,3,1,78.0,0.0,True,False,False,False,False,True,True,False,False,False,True,flat,0
94260211,1200.0,33,7,3,2,120.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
36562989,900.0,11,6,1,1,72.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98343051,1200.0,24,3,3,2,240.0,0.0,True,False,False,True,True,True,True,False,False,False,False,penthouse,0
98342750,1000.0,8,5,2,1,85.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
97764230,950.0,44,7,2,2,111.0,0.0,True,False,False,False,False,True,True,False,False,False,True,flat,0
98342596,700.0,17,7,2,1,75.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
38306128,850.0,56,0,3,2,128.0,0.0,False,False,False,True,True,True,False,False,False,False,False,chalet,3
91684729,665.0,11,2,2,2,76.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
97975464,1300.0,9,3,5,2,140.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98342122,890.0,19,3,4,1,105.0,0.0,True,False,False,False,False,True,True,True,False,False,False,flat,0
98342121,2200.0,23,0,3,2,200.0,0.0,False,False,False,True,True,True,False,False,False,False,False,chalet,3
98342022,1200.0,8,2,3,2,118.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98341990,650.0,18,5,3,2,126.0,0.0,True,False,False,False,False,True,True,False,False,False,False,penthouse,0
97088289,1280.0,43,3,3,2,110.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98252779,1750.0,59,1,5,2,105.0,0.0,True,False,False,False,False,True,True,False,False,True,False,flat,0
95975771,550.0,11,1,2,1,66.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
98341936,835.0,25,0,2,2,68.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
98341922,980.0,14,2,3,2,150.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98341891,1500.0,8,0,1,2,90.0,0.0,True,False,False,False,False,True,True,False,False,False,False,duplex,0
98341824,1350.0,18,2,2,2,90.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
98341818,1000.0,16,4,3,1,90.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
97306803,2500.0,24,5,4,3,161.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
97462661,1400.0,12,3,4,2,108.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98341617,900.0,17,5,4,1,102.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
98341582,1100.0,9,1,4,2,120.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98341588,1300.0,18,4,2,2,97.0,0.0,True,False,False,False,False,True,True,True,False,False,True,flat,0
98341524,1200.0,28,1,4,2,90.0,0.0,True,False,False,False,False,True,True,True,False,False,True,flat,0
98341460,625.0,16,3,3,1,76.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
98341446,2500.0,29,0,4,3,332.0,0.0,False,False,False,True,True,True,False,False,False,False,False,chalet,3
98341292,500.0,36,1,2,1,62.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98341225,2500.0,24,2,3,2,105.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98341122,850.0,17,4,3,1,99.0,0.0,True,False,False,False,False,True,True,False,False,False,False,penthouse,0
98341053,1200.0,18,2,2,2,80.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
98340836,550.0,12,4,2,1,90.0,0.0,True,False,False,True,True,True,True,False,False,False,False,flat,3
98340725,600.0,18,4,3,1,80.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
34699297,900.0,25,6,2,2,90.0,0.0,True,False,False,True,True,True,True,False,False,False,True,flat,0
95968668,625.0,9,2,3,1,90.0,0.0,True,False,False,False,False,True,True,False,False,False,True,flat,2
97963468,1000.0,32,3,3,2,107.0,0.0,True,False,False,True,True,True,True,True,False,False,False,flat,0
97813499,1150.0,23,4,2,1,65.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
94447612,850.0,30,2,3,2,115.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98340398,750.0,18,2,4,2,106.0,0.0,True,False,False,True,True,True,True,False,False,False,False,flat,0
98340322,595.0,21,3,3,1,75.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
89319763,900.0,20,3,2,1,80.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98340243,1000.0,13,3,3,2,98.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98340170,1300.0,15,4,2,2,95.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98340064,900.0,11,7,4,2,126.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98340079,800.0,9,5,1,1,40.0,0.0,True,False,False,False,False,True,False,False,False,False,False,penthouse,0
98340088,750.0,19,3,1,1,48.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98339864,1400.0,29,7,4,2,123.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98339811,850.0,5,4,1,1,114.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
98339753,675.0,26,2,2,1,64.0,0.0,True,False,False,False,False,True,False,False,False,False,False,flat,0
37747776,850.0,21,7,4,2,110.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
98339676,850.0,11,5,3,1,100.0,0.0,True,False,False,False,False,True,True,False,False,False,False,flat,0
92582749,1200.0,13,6,3,2,117.0,0.0,True,False,False,True,True,True,True,False,False,False,False,flat,0
